category_super_group_ID,category_super_group,category_group_ID,saveframe_category,mandatory_number,ADIT replicable,allowed_user_defined_framecode,tag category requirements,validateFlgs,viewFlags,category_group_view_name,group_view_help
,-------------------------------,----------------,--------------,---------,-----------,---------,,BMRB biopolymer public release,public,-----------,------------
TBL_BEGIN,,,,,,,,validate,viewFlags,,
1,entry_information,9,deposited_data_files,1,N,N,,IIMOIO,HHHHHH,Deposit data files,Upload one or more data files and then select the kind(s) of data the file(s) contain.
1,entry_information,8,entry_interview,1,N,N,,IIMOIO,NHHHHH,Entry interview,Select the type of deposition you would like to start (BMRB only or PDB/BMRB). The information entered as you complete the deposition will apply to both a BMRB only and a PDB/BMRB deposition. Additional information describing the deposition process can be obtained by clicking on the 'Help' button at the top of the page.
1,entry_information,10,study_list,,N,Y,,OOOOOO,NHHHHH,Studies,A study is consists of one or more entries.  You may define a name and type of study conducted and provide the entry(s) that compose the study.
1,entry_information,20,entry_information,1,N,N,Data_set and Entry_author and Release,MMMMMM,NHHHHH,Entry information,Provide information that describes the entry and the people responsible for the deposition.
2,citations,40,citations,1,Y,Y,Citation_author,MMMMMM,NHHHHH,Citations,"The title, authors, and reference information for the citation related to this entry are entered in this section."
2,citations,42,references,,N,N,,OOOOOO,NHHHHH,References,Information for a reference citation(s) is enter in the table.
3,assembly_supercategory,50,chem_comp,,Y,Y,,OOOOMM,HHHHHH,Ligands and non-standard residues,"Please ignore this section, if there are no ligands or non-standard residues in the molecular system studied. Enter a description for each chemically unique ligand molecule or non-standard biopolymer residue (chemical component) in the molecular system (click the 'Duplicate' or 'Create new' button for each compound). If the chemical component exists in the PDB Ligand Depot, simply enter the PDB chemical component ID for the compound in the appropriate field. Polymer descriptions are entered in the next section 'Molecular entity'."
3,assembly_supercategory,60,entity,1,Y,Y,Entity_comp_index,MMMMMM,NHHHHH,Molecular entity,"A molecular entity is a chemically unique molecule (polymer or nonpolymer) in the system studied. For a homodimer, a description of one monomer is required.  For a heterodimer (non palindromic DNA, protein-protein complex, DNA-RNA complex) or a biopolymer ligand complex, both molecules need to be described by completing two molecular entity sections. For more complex molecular systems, additional molecular entity sections may need to be filled out."
3,assembly_supercategory,70,assembly,1,N,Y,Entity_assembly,MMMMII,NHHHHH,Molecular assembly,"The molecular assembly is the set of all molecules that make up the system studied. Simple examples include a single polypeptide chain, a homodimer consisting of two components, a duplex DNA system that has two components, or a protein ligand complex that has two components."
3,assembly_supercategory,80,assembly_annotation,,Y,Y,,OOOOII,HHHHHH,Molecular assembly annotation,Authors may use this section to provide unique annotation for the molecular assembly studied.
3,assembly_supercategory,90,assembly_subsystems,,Y,Y,,OOOOII,HHHHHH,Molecular assembly subsystem descriptions,Subsystems of the complete molecular assembly may be defined using this section.
3,assembly_supercategory,100,natural_source,1,N,N,Entity_natural_src,MMMMII,NHHHHH,Natural source,Provide the natural source for all unique biopolymers in the molecular assembly that was studied.  The natural source for organic and inorganic ligands is not required.
3,assembly_supercategory,110,experimental_source,1,N,N,Entity_experimental_src,MMMMII,NHHHHH,Experimental source,"Enter the source used to produce the biopolymers studied in this entry.  In most cases, this would be the host organism and plasmid used to overproduce a protein. If the biopolymer was chemically synthesized or purchased from a vendor, please make the appropriate selection in the production method field. This will modify the number and types of data fields that appear in the interface."
4,experimental_details,130,sample,,Y,Y,Sample_component,MMMMMM,NHHHHH,Sample descriptions,"Enter the complete contents for each sample used in the study.  This includes the molecules in the study (biopolymers and ligands), buffers, salts, and additives such as DTT, etc."
4,experimental_details,140,sample_conditions,1,Y,Y,Sample_condition_variable,MMMMMM,NHHHHH,Sample conditions,Provide at least the pH and temperature for each set of conditions used to collect the data listed in the entry.
4,experimental_details,141,molecule_purity,,Y,N,,OOOOOO,HHHHHH,Sample content purity,Enter the measured purity of each unique biopolymer in the samples used and define the method used to measure purity.
4,experimental_details,142,software,1,Y,Y,,OOOOOO,NHHHHH,Software descriptions,"Provide information for each software application used (name, version, vendor, etc.)."
