Enumeration ID,Enum ordinal,Enum value,Enum value desc
TBL_BEGIN,?,?,?
54,1,PDB,Protein Data Bank
54,2,BMRB,BioMagResBank
54,3,DBJ,enumeration_text
54,4,EMBL,enumeration_text
54,5,GB,enumeration_text
54,6,PIR,enumeration_text
54,7,PRF,enumeration_text
54,8,REF,enumeration_text
54,9,SP,enumeration_text
54,10,UNP,enumeration_text
54,11,NCBI,enumeration_text
54,12,PubMed,NCBI PubMed
54,13,SGD,Saccharomyces Genome Database
54,14,SMART,Simple Modular Architecture Research Tool
54,15,TargetDB,Target registration database
54,16,BMRB(withdrawn),BMRB withdrawn accession code
55,1,X-ray,enumeration_text
55,2,solution NMR,enumeration_text
55,3,solid-state NMR,enumeration_text
55,4,FTIR,enumeration_text
55,5,mass spectrometry,enumeration_text
55,6,XAFS,enumeration_text
55,7,NMR,enumeration_text
55,8,X-ray crystallography,enumeration_text
55,9,X-ray fiber diffraction,enumeration_text
55,10,solid-state NMR and X-ray fiber diffraction,enumeration_text
55,11,na,enumeration_text
57,1,Extremely slow exchange,Components are very tightly bound
57,2,Slow exchange,Would expect to observe separate resonances for the bound and free components of the system.
57,3,Intermediate exchange,May not observe signals from the component or signals may be quite broad.
57,4,Fast exchange,On the NMR time scale$ a single averaged signal will be observed for the components in the bound and free state.
57,5,No interaction,The components exist in the sample but do not interact (i.e.$ a molecule that is exchanging between a native and an unfolded conformation).
57,6,na,not available or equivalent
56,1,IUPAC,enumeration_text
56,2,CAS name,enumeration_text
56,3,CAS registry number,enumeration_text
56,4,BMRB,enumeration_text
56,5,Pfam,enumeration_text
56,6,Swiss-Prot,enumeration_text
56,7,MEROPS,enumeration_text
50,1,peptide,enumeration_text
50,2,protein monomer,enumeration_text
50,3,protein homo-multimer,enumeration_text
50,4,protein hetero-multimer,enumeration_text
50,5,RNA single strand,enumeration_text
50,6,RNA double strand,enumeration_text
50,7,DNA single strand,enumeration_text
50,8,DNA double strand,enumeration_text
50,9,DNA-RNA hybrid,enumeration_text
50,10,polysaccharide,enumeration_text
50,11,protein-nucleic acid complex,enumeration_text
50,12,protein-inhibitor complex,enumeration_text
50,13,protein-drug complex,enumeration_text
50,14,protein-ligand complex,enumeration_text
50,15,protein-protein complex,enumeration_text
50,16,protein-DNA complex,enumeration_text
50,17,protein-DNA-ligand complex,enumeration_text
50,18,protein-DNA-inhibitor complex,enumeration_text
50,19,protein-RNA complex,enumeration_text
50,20,protein-RNA-ligand complex,enumeration_text
50,21,protein-RNA-inhibitor complex,enumeration_text
50,22,protein-carbohydrate complex,enumeration_text
50,23,DNA-drug complex,enumeration_text
50,24,DNA-RNA complex,enumeration_text
50,25,RNA-drug complex,enumeration_text
50,26,non-polymer,enumeration_text
49,1,all disulfide bound,enumeration_text
49,2,all other bound,enumeration_text
49,3,all free,enumeration_text
49,4,not present,Thiols are not present in the system.
49,5,not available,The oxidation state of the thiols could not be extracted from the literature or was not provided by the authors of the entry.
49,6,unknown,The author reported that the oxidation state of the thiols is unknown.
49,7,not reported,enumeration_text
49,8,free and disulfide bound,enumeration_text
49,9,free and other bound,enumeration_text
49,10,free disulfide and other bound,enumeration_text
49,11,disulfide and other bound,enumeration_text
164,1,1,Unique$ not ambiguous
164,2,2,Ambiguity of geminal atoms or geminal groups
164,3,3,Aromatic atoms on opposite sides of the ring (e.g. Tyr HE1 and HE2 protons)
164,4,4,Intraresidue ambiguities (e.g. Lys HG and HD protons)
164,5,5,Interresidue ambiguities (Lys 12 vs. Lys 27)
164,6,6,Chemical shift ambiguity is between atoms that are located on different entities within the molecular assembly
164,7,9,Ambiguous$ but specific ambiguity not defined
263,1,1,Flag indicating that the atom is in an ordered region of the structure.
263,2,0,Flag indicating that the atom is in a poorly ordered region of the structure.
41,1,Preliminary version,enumeration_text
41,2,Nomenclature checked,enumeration_text
41,3,Nomenclature checked and updated,enumeration_text
41,4,Chemical shifts checked,enumeration_text
41,5,Chemical shifts checked and updated,enumeration_text
41,6,Data file replaced,enumeration_text
41,7,Initial release,enumeration_text
230,1,isotropic,enumeration_text
230,2,anisotropic,enumeration_text
230,3,solid,enumeration_text
224,1,R1,enumeration_text
224,2,R2,enumeration_text
224,3,R1rho,enumeration_text
224,4,T1,enumeration_text
224,5,T2,enumeration_text
224,6,T1rho,enumeration_text
