Tag,Enumeration_closed,Value
_Assembly_db_link.Database_code,N,PDB
_Assembly_db_link.Database_code,N,BMRB
_Assembly_db_link.Database_code,N,DBJ
_Assembly_db_link.Database_code,N,EMBL
_Assembly_db_link.Database_code,N,GB
_Assembly_db_link.Database_code,N,PIR
_Assembly_db_link.Database_code,N,PRF
_Assembly_db_link.Database_code,N,REF
_Assembly_db_link.Database_code,N,SP
_Assembly_db_link.Database_code,N,UNP
_Assembly_db_link.Database_code,N,NCBI
_Assembly_db_link.Database_code,N,PubMed
_Assembly_db_link.Database_code,N,SGD
_Assembly_db_link.Database_code,N,SMART
_Assembly_db_link.Database_code,N,TargetDB
_Assembly_db_link.Database_code,N,BMRB(withdrawn)
_Assembly_db_link.Entry_experimental_method,N,X-ray
_Assembly_db_link.Entry_experimental_method,N,solution NMR
_Assembly_db_link.Entry_experimental_method,N,solid-state NMR
_Assembly_db_link.Entry_experimental_method,N,FTIR
_Assembly_db_link.Entry_experimental_method,N,mass spectrometry
_Assembly_db_link.Entry_experimental_method,N,XAFS
_Assembly_db_link.Entry_experimental_method,N,NMR
_Assembly_db_link.Entry_experimental_method,N,X-ray crystallography
_Assembly_db_link.Entry_experimental_method,N,X-ray fiber diffraction
_Assembly_db_link.Entry_experimental_method,N,solid-state NMR and X-ray fiber diffraction
_Assembly_db_link.Entry_experimental_method,N,na
_Assembly_interaction.Mol_interaction_type,N,Extremely slow exchange
_Assembly_interaction.Mol_interaction_type,N,Slow exchange
_Assembly_interaction.Mol_interaction_type,N,Intermediate exchange
_Assembly_interaction.Mol_interaction_type,N,Fast exchange
_Assembly_interaction.Mol_interaction_type,N,No interaction
_Assembly_interaction.Mol_interaction_type,N,na
_Assembly_systematic_name.Naming_system,N,IUPAC
_Assembly_systematic_name.Naming_system,N,CAS name
_Assembly_systematic_name.Naming_system,N,CAS registry number
_Assembly_systematic_name.Naming_system,N,BMRB
_Assembly_systematic_name.Naming_system,N,Pfam
_Assembly_systematic_name.Naming_system,N,Swiss-Prot
_Assembly_systematic_name.Naming_system,N,MEROPS
_Assembly_type.Type,N,peptide
_Assembly_type.Type,N,protein monomer
_Assembly_type.Type,N,protein homo-multimer
_Assembly_type.Type,N,protein hetero-multimer
_Assembly_type.Type,N,RNA single strand
_Assembly_type.Type,N,RNA double strand
_Assembly_type.Type,N,DNA single strand
_Assembly_type.Type,N,DNA double strand
_Assembly_type.Type,N,DNA-RNA hybrid
_Assembly_type.Type,N,polysaccharide
_Assembly_type.Type,N,protein-nucleic acid complex
_Assembly_type.Type,N,protein-inhibitor complex
_Assembly_type.Type,N,protein-drug complex
_Assembly_type.Type,N,protein-ligand complex
_Assembly_type.Type,N,protein-protein complex
_Assembly_type.Type,N,protein-DNA complex
_Assembly_type.Type,N,protein-DNA-ligand complex
_Assembly_type.Type,N,protein-DNA-inhibitor complex
_Assembly_type.Type,N,protein-RNA complex
_Assembly_type.Type,N,protein-RNA-ligand complex
_Assembly_type.Type,N,protein-RNA-inhibitor complex
_Assembly_type.Type,N,protein-carbohydrate complex
_Assembly_type.Type,N,DNA-drug complex
_Assembly_type.Type,N,DNA-RNA complex
_Assembly_type.Type,N,RNA-drug complex
_Assembly_type.Type,N,non-polymer
_Assembly.Thiol_state,N,all disulfide bound
_Assembly.Thiol_state,N,all other bound
_Assembly.Thiol_state,N,all free
_Assembly.Thiol_state,N,not present
_Assembly.Thiol_state,N,not available
_Assembly.Thiol_state,N,unknown
_Assembly.Thiol_state,N,not reported
_Assembly.Thiol_state,N,free and disulfide bound
_Assembly.Thiol_state,N,free and other bound
_Assembly.Thiol_state,N,free disulfide and other bound
_Assembly.Thiol_state,N,disulfide and other bound
_Atom_chem_shift.Ambiguity_code,Y,1
_Atom_chem_shift.Ambiguity_code,Y,2
_Atom_chem_shift.Ambiguity_code,Y,3
_Atom_chem_shift.Ambiguity_code,Y,4
_Atom_chem_shift.Ambiguity_code,Y,5
_Atom_chem_shift.Ambiguity_code,Y,6
_Atom_chem_shift.Ambiguity_code,Y,9
_Atom_site.Ordered_flag,N,1
_Atom_site.Ordered_flag,N,0
_Audit.Update_record,Y,Preliminary version
_Audit.Update_record,Y,Nomenclature checked
_Audit.Update_record,Y,Nomenclature checked and updated
_Audit.Update_record,Y,Chemical shifts checked
_Audit.Update_record,Y,Chemical shifts checked and updated
_Audit.Update_record,Y,Data file replaced
_Audit.Update_record,Y,Initial release
_Auto_relaxation_experiment.Sample_state,N,isotropic
_Auto_relaxation_experiment.Sample_state,N,anisotropic
_Auto_relaxation_experiment.Sample_state,N,solid
_Auto_relaxation_list.Common_relaxation_type_name,N,R1
_Auto_relaxation_list.Common_relaxation_type_name,N,R2
_Auto_relaxation_list.Common_relaxation_type_name,N,R1rho
_Auto_relaxation_list.Common_relaxation_type_name,N,T1
_Auto_relaxation_list.Common_relaxation_type_name,N,T2
_Auto_relaxation_list.Common_relaxation_type_name,N,T1rho
_Auto_relaxation_list.Common_relaxation_type_name,N,ZQ relaxation
_Auto_relaxation_list.Common_relaxation_type_name,N,longitudinal spin order
_Auto_relaxation_list.Common_relaxation_type_name,N,single quantum antiphase
_Auto_relaxation_list.Common_relaxation_type_name,N,DQ relaxation
_Auto_relaxation_list.Relaxation_coherence_type,N,Iz
_Auto_relaxation_list.Relaxation_coherence_type,N,Sz
_Auto_relaxation_list.Relaxation_coherence_type,N,(I+)+(I-)
_Auto_relaxation_list.Relaxation_coherence_type,N,(S+)+(S-)
_Auto_relaxation_list.Relaxation_coherence_type,N,I+
_Auto_relaxation_list.Relaxation_coherence_type,N,I-
_Auto_relaxation_list.Relaxation_coherence_type,N,S+
_Auto_relaxation_list.Relaxation_coherence_type,N,S-
_Auto_relaxation_list.Relaxation_coherence_type,N,(I+S-)+(I-S+)
_Auto_relaxation_list.Relaxation_coherence_type,N,I-S+
_Auto_relaxation_list.Relaxation_coherence_type,N,I+S-
_Auto_relaxation_list.Relaxation_coherence_type,N,IzSz
_Auto_relaxation_list.Relaxation_coherence_type,N,((I+)+(I-))Sz
_Auto_relaxation_list.Relaxation_coherence_type,N,Iz((S+)+(S-))
_Auto_relaxation_list.Relaxation_coherence_type,N,I+Sz
_Auto_relaxation_list.Relaxation_coherence_type,N,I-Sz
_Auto_relaxation_list.Relaxation_coherence_type,N,IzS+
_Auto_relaxation_list.Relaxation_coherence_type,N,IzS-
_Auto_relaxation_list.Relaxation_coherence_type,N,(I+S+)+(I-S-)
_Auto_relaxation_list.Relaxation_coherence_type,N,I+S+
_Auto_relaxation_list.Relaxation_coherence_type,N,I-S-
_Auto_relaxation_list.Relaxation_val_units,N,s-1
_Auto_relaxation_list.Relaxation_val_units,N,ms-1
_Auto_relaxation_list.Relaxation_val_units,N,us-1
_Auto_relaxation_list.Relaxation_val_units,N,ns-1
_Auto_relaxation_list.Relaxation_val_units,N,ps-1
_Auto_relaxation_list.Relaxation_val_units,N,s
_Auto_relaxation_list.Relaxation_val_units,N,ms
_Auto_relaxation_list.Relaxation_val_units,N,us
_Auto_relaxation_list.Relaxation_val_units,N,ns
_Auto_relaxation_list.Relaxation_val_units,N,ps
_Auto_relaxation_list.Rex_units,N,s-1
_Auto_relaxation_list.Rex_units,N,ms-1
_Auto_relaxation_list.Rex_units,N,us-1
_Auto_relaxation_list.Temp_calibration_method,N,methanol
_Auto_relaxation_list.Temp_calibration_method,N,monoethylene glycol
_Auto_relaxation_list.Temp_calibration_method,N,"solid lead nitrate""         ."
_Auto_relaxation_list.Temp_calibration_method,N,.
_Auto_relaxation_list.Temp_calibration_method,N,no calibration applied
_Auto_relaxation_list.Temp_control_method,N,single scan interleaving
_Auto_relaxation_list.Temp_control_method,N,temperature compensation block
_Auto_relaxation_list.Temp_control_method,N,single scan interleaving and temperature compensation block
_Auto_relaxation_list.Temp_control_method,N,no temperature control applied
_Binding_experiment.Sample_state,N,anisotropic
_Binding_experiment.Sample_state,N,isotropic
_Bond_annotation.Type,N,amide
_Bond_annotation.Type,N,covalent
_Bond_annotation.Type,N,directed
_Bond_annotation.Type,N,disulfide
_Bond_annotation.Type,N,ester
_Bond_annotation.Type,N,ether
_Bond_annotation.Type,N,hydrogen
_Bond_annotation.Type,N,metal coordination
_Bond_annotation.Type,N,peptide
_Bond_annotation.Type,N,thioether
_Bond_annotation.Type,N,oxime
_Bond_annotation.Type,N,thioester
_Bond_annotation.Type,N,phosphoester
_Bond_annotation.Type,N,phosphodiester
_Bond_annotation.Type,N,diselenide
_Bond_annotation.Type,N,na
_Bond_annotation.Value_order,N,sing
_Bond_annotation.Value_order,N,doub
_Bond_annotation.Value_order,N,trip
_Bond_annotation.Value_order,N,quad
_Bond_annotation.Value_order,N,arom
_Bond_annotation.Value_order,N,poly
_Bond_annotation.Value_order,N,delo
_Bond_annotation.Value_order,N,pi
_Bond_annotation.Value_order,N,directed
_Bond.Type,N,amide
_Bond.Type,N,covalent
_Bond.Type,N,directed
_Bond.Type,N,disulfide
_Bond.Type,N,ester
_Bond.Type,N,ether
_Bond.Type,N,hydrogen
_Bond.Type,N,metal coordination
_Bond.Type,N,peptide
_Bond.Type,N,thioether
_Bond.Type,N,oxime
_Bond.Type,N,thioester
_Bond.Type,N,phosphoester
_Bond.Type,N,phosphodiester
_Bond.Type,N,diselenide
_Bond.Type,N,na
_Bond.Value_order,Y,sing
_Bond.Value_order,Y,doub
_Bond.Value_order,Y,trip
_Bond.Value_order,Y,quad
_Bond.Value_order,Y,arom
_Bond.Value_order,Y,poly
_Bond.Value_order,Y,delo
_Bond.Value_order,Y,pi
_Bond.Value_order,Y,directed
_CA_CB_constraint_expt.Sample_state,N,isotropic
_CA_CB_constraint_expt.Sample_state,N,anisotropic
_CA_CB_constraint_expt.Sample_state,N,solid
_Chem_comp_atom.Chirality,Y,N
_Chem_comp_atom.Chirality,Y,E
_Chem_comp_atom.Chirality,Y,Z
_Chem_comp_atom.Chirality,Y,R
_Chem_comp_atom.Chirality,Y,S
_Chem_comp_atom.Chirality,Y,pro-R
_Chem_comp_atom.Chirality,Y,pro-S
_Chem_comp_atom.Stereo_config,Y,N
_Chem_comp_atom.Stereo_config,Y,E
_Chem_comp_atom.Stereo_config,Y,Z
_Chem_comp_atom.Stereo_config,Y,R
_Chem_comp_atom.Stereo_config,Y,S
_Chem_comp_atom.Substruct_code,Y,main
_Chem_comp_atom.Substruct_code,Y,side
_Chem_comp_atom.Substruct_code,Y,base
_Chem_comp_atom.Substruct_code,Y,phos
_Chem_comp_atom.Substruct_code,Y,sugar
_Chem_comp_atom.Substruct_code,Y,none
_Chem_comp_bond.Stereo_config,Y,E
_Chem_comp_bond.Stereo_config,Y,Z
_Chem_comp_bond.Stereo_config,Y,N
_Chem_comp_bond.Type,N,amide
_Chem_comp_bond.Type,N,covalent
_Chem_comp_bond.Type,N,directed
_Chem_comp_bond.Type,N,disulfide
_Chem_comp_bond.Type,N,ester
_Chem_comp_bond.Type,N,ether
_Chem_comp_bond.Type,N,hydrogen
_Chem_comp_bond.Type,N,metal coordination
_Chem_comp_bond.Type,N,peptide
_Chem_comp_bond.Type,N,thioether
_Chem_comp_bond.Value_order,Y,SING
_Chem_comp_bond.Value_order,Y,DOUB
_Chem_comp_bond.Value_order,Y,TRIP
