any,.*,A catch all for items that may take any form...
atcode,"[][ _(),.;:""&<>/\{}'`~!@#$%?+=*A-Za-z0-9|^-]*",Character data type for atom names ...
binary,"\n--CIF-BINARY-FORMAT-SECTION--\n\ [][ \n\t()_,.;:""&<>/\{}'`~!@#$%?+=*A-Za-z0-9|^-]*\ \n--CIF-BINARY-FORMAT-SECTION----","binary items are presented as MIME-like ascii-encoded sections in an imgCIF. In a CBF, raw octet streams are used to convey the same information."
code,"[_,.;:""&<>()/\{}'`~!@#$%A-Za-z0-9*|+-]*",code item types/single words ...
email,"[_,.;:""&<>/\{}'`~!@#$%A-Za-z0-9*|+-]*",code item types/single words (case insensitive) ...
fax,^\+?[0-9A-Za-z.()\s\-/]+$,code item types/single words (case insensitive) ...
float,-?(([0-9]+)[.]?|([0-9]*[.][0-9]+))([(][0-9]+[)])?([eE][+-]?[0-9]+)?,int item types are the subset of numbers that are the floating numbers.
float-range,-?(([0-9]+)[.]?|([0-9]*[.][0-9]+))([(][0-9]+[)])?([eE][+-]?[0-9]+)?(--?(([0-9]+)[.]?|([0-9]*[.][0-9]+))([(][0-9]+[)])?([eE][+-]?[0-9]+)?)?,int item types are the subset of numbers that are the floating numbers.
framecode,"[.;:""&<>(){}'`~!$%A-Za-z0-9*|+-][_.;:""&<>(){}'`~!$%A-Za-z0-9*|+-]*",A value that points to a saveframe.
idname,[_A-Za-z0-9]+,idname item types take the form...
int,-?[0-9]+,int item types are the subset of numbers that are the negative or positive integers.
int-range,-?[0-9]+(--?[0-9]+)?,int item types are the subset of numbers that are the negative or positive integers with optional range.
line,"[][ \t_(),.;:""&<>/\{}'`~!@#$%?+=*A-Za-z0-9|^-]*",char item types / multi-word items ...
name,_[_A-Za-z0-9]+\.[][_A-Za-z0-9%-]+,name item types take the form...
phone,^\+?[0-9A-Za-z.()\s\-/]+$,code item types/single words (case insensitive) ...
symop,([1-9]|[1-9][0-9]|1[0-8][0-9]|19[0-2])(_[1-9][1-9][1-9])?,"symop item types take the form n_klm, where n refers to the symmetry operation that is applied to the coordinates in the ATOM_SITE category identified by _atom_site_label. It must match a number given in _symmetry_equiv_pos_site_id. k, l, and m refer to the translations that are subsequently applied to the symmetry transformed coordinates to generate the atom used. These translations (x,y,z) are related to (k,l,m) by k = 5 + x l = 5 + y m = 5 + z By adding 5 to the translations, the use of negative numbers is avoided."
text,"[][ \n\t()_,.;:""&<>/\{}'`~!@#$%?+=*A-Za-z0-9|^-]*",text item types / multi-line text ...
uchar1,[+]?[A-Za-z0-9],data item for 1 character codes
uchar3,[+]?[A-Za-z0-9]?[A-Za-z0-9][A-Za-z0-9],data item for 3 character codes
ucode,"[_,.;:""&<>()/\{}'`~!@#$%A-Za-z0-9*|+-]*",code item types/single words (case insensitive) ...
uline,"[][ \t_(),.;:""&<>/\{}'`~!@#$%?+=*A-Za-z0-9|^-]*",char item types / multi-word items (case insensitive)...
yes_no,(yes)|(no),data item for boolean codes that have values of 'yes' or 'no'
yyyy-mm-dd,[0-9]?[0-9]?[0-9][0-9]-[0-9]?[0-9]-[0-9][0-9],Standard format for CIF dates.
yyyy-mm-dd:hh:mm,[0-9]?[0-9]?[0-9][0-9]-[0-9]?[0-9](-[0-9]?[0-9])?(:[0-9]?[0-9]:[0-9][0-9])?,
